	28_oral	29_oral	30_oral	31_oral	33_oral	34_oral	35_oral	Unknown
28_cheek	0.263831446379584	1.0234481436919e-08	0.0916292616555548	0.00494631907094612	0.10373058892082	0.0720446962970303	0.00600165276942622	0.457816024672157
28_cheek	0.479144441864175	3.11283396914711e-31	0.0512159082701599	0.0721159876855109	0.00152347338974083	2.78574857845273e-06	0.0179252160061065	0.378072187035729
29_forehead	0.0183867566317115	0.122404660506208	0.0680727031794802	0.143520506365326	0.0348159242884619	0.195588962009888	0.17528839293594	0.241922094082984
29_cheek	0.066273431570882	0.0604101959747424	9.22891624774515e-06	0.261241931335293	0.0151832731971029	0.0096523304388597	0.0960035106028825	0.49122609796399
29_elbow	0.072347494642196	0.112007726019841	3.94182626569901e-06	0.137728008514345	0.0647813342658752	0.389650697081085	0.0420162450360829	0.18146455261431
30_forehead	0.184280659596268	2.0077815107818e-16	0.566996747139811	1.57572757078295e-23	6.45115883596157e-23	2.02714353013307e-08	0.219676383703952	0.029046189288534
30_cheek	0.045732463289577	0.0168493321925267	0.837739657299376	9.51950563781538e-58	5.89989324821928e-23	0.0013491959829251	0.0489889458132504	0.0493404054223446
30_cheek	0.0100016588121601	1.15288352465758e-06	0.840800286475497	3.27372545352639e-48	1.22083560545071e-38	0.00907959409732375	0.0393768534529084	0.100740454278586
30_elbow	4.6081705343944e-05	8.82200605234682e-94	0.768576117131036	7.52922174846939e-92	1.28435373658852e-93	8.92641666152992e-65	0.126972864252519	0.104404936911101
31_cheek	5.56908396461532e-05	0.175164331871943	0.00708874322724285	0.130939712927523	0.114828382610591	0.0654195886044821	5.71560722366558e-13	0.506503549918
31_elbow	1.94401420376572e-05	0.0624734408492975	0.0231135686528898	0.318421357430717	0.106518618341384	0.00079453201151751	0.0204217878003345	0.468237254771822
31_forehead	2.17852357368842e-05	0.0739157770837661	2.14153428446611e-05	0.3866713667561	0.142174462988851	0.0447245593098269	5.1744607213061e-05	0.352418888675661
33_elbow	8.97588991040216e-06	3.24823706963804e-06	7.49864296687711e-12	0.000675799647793495	0.363817443122937	0.239796087093083	0.093350589617499	0.302347856384209
33_cheek	0.161798963112787	0.0226946864059612	2.33007607102979e-08	0.106266084791279	0.231102960860267	0.0511390547986179	7.96411018101633e-12	0.426998226722363
33_forehead	4.38532340323304e-06	0.000149935508099774	1.6439390398813e-05	0.00586861378214601	0.622691886546142	0.00933099703238995	1.24599475226629e-06	0.361936496422668
34_cheek	4.867396934087e-05	2.47035814419072e-14	0.102617181824599	0.0043866471682717	0.4066989090656	0.0112734563152359	0.132599881713164	0.342375249943763
34_forehead	2.01930878613448e-05	2.14899956664162e-08	0.0237545018349231	0.0893221617293934	0.000899910790397636	0.242367008763363	0.359549633188655	0.284086569115411
35_elbow	0.0316984151426016	0.100580403456979	0.000194584656063954	0.123903253248043	0.0618579917422432	0.209686579386142	0.250714529668924	0.221364242699002
35_cheek	2.72336149876329e-05	0.0897396122233963	0.00989136299876139	0.046605238918857	7.77370825265663e-05	0.129252606144822	0.43657449572526	0.287831713291389
35_forehead	1.1356691383681e-05	0.146526548498884	0.0490604137459136	0.0608946450874265	0.00413333866254712	0.266461457479758	0.189784166976	0.283128072858087
